FEN,Move,WhiteElo,BlackElo
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,e7e6,930,983
rnbqkbnr/pppp1ppp/4p3/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,d2d4,930,983
rnbqkb1r/pppp1ppp/4pn2/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 3,g8f6,930,983
rnbqkb1r/pppp1ppp/4pn2/4P3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,e4e5,930,983
rnbqkbnr/pppp1ppp/4p3/4P3/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 1 4,f6g8,930,983
rnbqkbnr/pppp1ppp/4p3/3PP3/8/8/PPP2PPP/RNBQKBNR b KQkq - 0 4,d4d5,930,983
rnbqkbnr/pppp1ppp/8/3pP3/8/8/PPP2PPP/RNBQKBNR w KQkq - 0 5,e6d5,930,983
rnbqkbnr/pppp1ppp/8/3QP3/8/8/PPP2PPP/RNB1KBNR b KQkq - 0 5,d1d5,930,983
r1bqkbnr/pppp1ppp/2n5/3QP3/8/8/PPP2PPP/RNB1KBNR w KQkq - 1 6,b8c6,930,983
r1bqkbnr/pppp1ppp/2n5/3QP3/8/5N2/PPP2PPP/RNB1KB1R b KQkq - 2 6,g1f3,930,983
r1bqkb1r/ppppnppp/2n5/3QP3/8/5N2/PPP2PPP/RNB1KB1R w KQkq - 3 7,g8e7,930,983
r1bqkb1r/ppppnppp/2n5/4P3/4Q3/5N2/PPP2PPP/RNB1KB1R b KQkq - 4 7,d5e4,930,983
r1bqkb1r/ppp1nppp/2n5/3pP3/4Q3/5N2/PPP2PPP/RNB1KB1R w KQkq d6 0 8,d7d5,930,983
r1bqkb1r/ppp1nppp/2n5/3pP3/8/4QN2/PPP2PPP/RNB1KB1R b KQkq - 1 8,e4e3,930,983
r1bqkb1r/ppp1nppp/2n5/4P3/3p4/4QN2/PPP2PPP/RNB1KB1R w KQkq - 0 9,d5d4,930,983
r1bqkb1r/ppp1nppp/2n5/4P3/3N4/4Q3/PPP2PPP/RNB1KB1R b KQkq - 0 9,f3d4,930,983
r1bqkb1r/ppp1nppp/8/4P3/3n4/4Q3/PPP2PPP/RNB1KB1R w KQkq - 0 10,c6d4,930,983
r1bqkb1r/ppp1nppp/8/4P3/3n4/2P1Q3/PP3PPP/RNB1KB1R b KQkq - 0 10,c2c3,930,983
r1bqkb1r/ppp1nppp/8/4Pn2/8/2P1Q3/PP3PPP/RNB1KB1R w KQkq - 1 11,d4f5,930,983
r1bqkb1r/ppp1nppp/8/4Pn2/4Q3/2P5/PP3PPP/RNB1KB1R b KQkq - 2 11,e3e4,930,983
r1bqkb1r/ppp2ppp/6n1/4Pn2/4Q3/2P5/PP3PPP/RNB1KB1R w KQkq - 3 12,e7g6,930,983
r1bqkb1r/ppp2ppp/6n1/1B2Pn2/4Q3/2P5/PP3PPP/RNB1K2R b KQkq - 4 12,f1b5,930,983
r1bqkb1r/pp3ppp/2p3n1/1B2Pn2/4Q3/2P5/PP3PPP/RNB1K2R w KQkq - 0 13,c7c6,930,983
r1bqkb1r/pp3ppp/2B3n1/4Pn2/4Q3/2P5/PP3PPP/RNB1K2R b KQkq - 0 13,b5c6,930,983
r1bqkb1r/p4ppp/2p3n1/4Pn2/4Q3/2P5/PP3PPP/RNB1K2R w KQkq - 0 14,b7c6,930,983
r1bqkb1r/p4ppp/2Q3n1/4Pn2/8/2P5/PP3PPP/RNB1K2R b KQkq - 0 14,e4c6,930,983
r2qkb1r/p2b1ppp/2Q3n1/4Pn2/8/2P5/PP3PPP/RNB1K2R w KQkq - 1 15,c8d7,930,983
Q2qkb1r/p2b1ppp/6n1/4Pn2/8/2P5/PP3PPP/RNB1K2R b KQk - 0 15,c6a8,930,983
q3kb1r/p2b1ppp/6n1/4Pn2/8/2P5/PP3PPP/RNB1K2R w KQk - 0 16,d8a8,930,983
q3kb1r/p2b1ppp/6n1/4Pn2/8/2P5/PP1N1PPP/R1B1K2R b KQk - 1 16,b1d2,930,983
4kb1r/p2b1ppp/6n1/4Pn2/8/2P5/PP1N1PqP/R1B1K2R w KQk - 0 17,a8g2,930,983
4kb1r/p2b1ppp/6n1/4Pn2/8/2P5/PP1N1PqP/R1B1KR2 b Qk - 1 17,h1f1,930,983
4kb1r/p2b1ppp/6n1/4P3/8/2P1n3/PP1N1PqP/R1B1KR2 w Qk - 2 18,f5e3,930,983
4kb1r/p2b1ppp/6n1/4P3/8/2P1P3/PP1N2qP/R1B1KR2 b Qk - 0 18,f2e3,930,983
4kb1r/p2b1ppp/8/4n3/8/2P1P3/PP1N2qP/R1B1KR2 w Qk - 0 19,g6e5,930,983
4kb1r/p2b1ppp/8/4n3/8/1NP1P3/PP4qP/R1B1KR2 b Qk - 1 19,d2b3,930,983
4kb1r/p2b1ppp/8/8/8/1NPnP3/PP4qP/R1B1KR2 w Qk - 2 20,e5d3,930,983
4kb1r/p2b1ppp/8/8/8/1NPnP3/PP4qP/R1BK1R2 b k - 3 20,e1d1,930,983
4kb1r/p2b1ppp/8/8/8/1NPnP3/PP5P/R1BK1q2 w k - 0 21,g2f1,930,983
4kb1r/p2b1ppp/8/8/8/1NPnP3/PP1K3P/R1B2q2 b k - 1 21,d1d2,930,983
4kb1r/p4ppp/8/1b6/8/1NPnP3/PP1K3P/R1B2q2 w k - 2 22,d7b5,930,983
4kb1r/p4ppp/8/1b6/2P5/1N1nP3/PP1K3P/R1B2q2 b k - 0 22,c3c4,930,983
4k2r/p4ppp/8/1b6/1bP5/1N1nP3/PP1K3P/R1B2q2 w k - 1 23,f8b4,930,983
4k2r/p4ppp/8/1b6/1bP5/1N1nP3/PPK4P/R1B2q2 b k - 2 23,d2c2,930,983
4k2r/p4ppp/8/8/1bb5/1N1nP3/PPK4P/R1B2q2 w k - 0 24,b5c4,930,983
4k2r/p4ppp/8/8/1bbN4/3nP3/PPK4P/R1B2q2 b k - 1 24,b3d4,930,983
5rk1/p4ppp/8/8/1bbN4/3nP3/PPK4P/R1B2q2 w - - 2 25,e8g8,930,983
5rk1/p4ppp/8/8/1bbN4/1P1nP3/P1K4P/R1B2q2 b - - 0 25,b2b3,930,983
5rk1/p4ppp/8/8/1bbN4/1P1nP3/P1K2q1P/R1B5 w - - 1 26,f1f2,930,983
5rk1/p4ppp/8/8/1bbN4/1P1nP3/P4q1P/RKB5 b - - 2 26,c2b1,930,983
5rk1/p4ppp/8/8/2bN4/1PbnP3/P4q1P/RKB5 w - - 3 27,b4c3,930,983
5rk1/p4ppp/8/8/2PN4/2bnP3/P4q1P/RKB5 b - - 0 27,b3c4,930,983
5rk1/p4ppp/8/8/2PN4/3nP3/Pb3q1P/RKB5 w - - 1 28,c3b2,930,983
5rk1/p4ppp/8/8/2PN4/3nP3/PB3q1P/RK6 b - - 0 28,c1b2,930,983
5rk1/p4ppp/8/8/2PN4/3nP3/Pq5P/RK6 w - - 0 29,f2b2,930,983
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e2e4,1001,977
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,e7e6,1001,977
